line number,contest name,choice name,party name,total votes,percent of votes,registered voters,ballots cast,num County total,num County rptg,over votes,under votes
9,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),G. K. Butterfield,DEM,254644,75.32,0,702881,24,24,0,0
10,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),Pete DiLauro,REP,77288,22.86,0,702881,24,24,0,0
11,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),Darryl Holloman,LIB,6134,1.81,0,702881,24,24,0,0
12,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),Steve Wilkins,DEM,128973,41.42,0,914572,9,9,0,0
13,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),Renee Ellmers,REP,174066,55.9,0,914572,9,9,0,0
14,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),Brian Irving,LIB,8358,2.68,0,914572,9,9,0,0
15,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),Erik Anderson,DEM,114314,36.89,0,510946,22,22,0,0
16,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),Walter B. Jones,REP,195571,63.11,0,510946,22,22,0,0
17,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),David Price,DEM,259534,74.47,0,989561,7,7,0,0
18,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),Tim D'Annunzio,REP,88951,25.53,0,989561,7,7,0,0
19,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),Elisabeth Motsinger,DEM,148252,42.46,0,588253,12,12,0,0
20,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),Virginia Foxx,REP,200945,57.54,0,588253,12,12,0,0
21,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),Tony Foriest,DEM,142467,39.08,0,699725,10,10,0,0
22,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),Howard Coble,REP,222116,60.92,0,699725,10,10,0,0
23,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),Mike McIntyre,DEM,168695,50.1,0,570104,12,12,0,0
24,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),David Rouzer,REP,168041,49.9,0,570104,12,12,0,0
25,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),Larry Kissell,DEM,137139,45.37,0,957240,12,12,0,0
26,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),Richard Hudson,REP,160695,53.16,0,957240,12,12,0,0
27,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),Antonio Blue (Write-in),,3990,1.32,0,957240,12,12,0,0
28,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),Write-in (miscellaneous),,456,0.15,0,957240,12,12,0,0
29,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),Jennifer Roberts,DEM,171503,45.65,0,625137,3,3,0,0
30,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),Robert Pittenger,REP,194537,51.78,0,625137,3,3,0,0
31,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),Curtis Campbell,LIB,9650,2.57,0,625137,3,3,0,0
32,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),Patsy Keever,DEM,144023,43.01,0,410187,7,7,0,0
33,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),Patrick McHenry,REP,190826,56.99,0,410187,7,7,0,0
34,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),Hayden Rogers,DEM,141107,42.58,0,416245,17,17,0,0
35,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),Mark Meadows,REP,190319,57.42,0,416245,17,17,0,0
36,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),Mel Watt,DEM,247591,79.63,0,1103370,6,6,0,0
37,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),Jack Brosch,REP,63317,20.37,0,1103370,6,6,0,0
38,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),Charles Malone,DEM,160115,43.2,0,879240,9,9,0,0
39,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),George Holding,REP,210495,56.8,0,879240,9,9,0,0
