line number,contest name,party name,total votes
9,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),DEM,240661
10,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),REP,101567
11,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),LIB,8471
12,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),DEM,169082
13,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),REP,221485
15,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),DEM,106170
16,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),REP,217531
17,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),DEM,279380
18,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),REP,130161
19,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),DEM,147887
20,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),REP,207625
21,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),DEM,143167
22,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),REP,207983
23,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),DEM,135905
24,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),REP,211801
25,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),DEM,133182
26,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),REP,189863
29,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),DEM,139041
30,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),REP,193452
32,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),DEM,128919
33,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),REP,220825
34,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),DEM,129103
35,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),REP,230405
36,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),DEM,234115
37,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),REP,115185
38,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),DEM,156049
39,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),REP,199443
